"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"GO401_122","00:01:00","00:01:00","8","1"
"GO401_122","00:14:00","00:14:00","9","2"
"GO401_122","00:19:00","00:19:00","10","3"
"GO401_122","00:21:00","00:21:00","11","4"
"GO401_122","00:25:00","00:26:00","15","5"
"GO401_122","00:41:00","00:41:00","106","6"
"GO401_122","00:44:00","00:44:00","107","7"
"GO401_122","00:47:00","00:47:00","108","8"
"GO401_122","00:50:00","00:50:00","109","9"
"GO401_122","00:53:00","00:53:00","110","10"
"GO401_122","00:56:00","00:56:00","111","11"
"GO401_122","00:59:00","00:59:00","112","12"
"GO401_122","01:01:00","01:01:00","113","13"
"GO401_122","01:03:00","01:03:00","114","14"
"GO401_122","01:06:00","01:06:00","115","15"
"GO401_122","01:09:00","01:09:00","116","16"
"GO401_122","01:12:00","01:12:00","117","17"
"GO401_122","01:17:00","01:17:00","118","18"
"GO401_123","00:56:00","00:56:00","118","1"
"GO401_123","01:01:00","01:01:00","117","2"
"GO401_123","01:04:00","01:04:00","116","3"
"GO401_123","01:07:00","01:07:00","115","4"
"GO401_123","01:10:00","01:10:00","114","5"
"GO401_123","01:12:00","01:12:00","113","6"
"GO401_123","01:15:00","01:15:00","112","7"
"GO401_123","01:18:00","01:18:00","111","8"
"GO401_123","01:20:00","01:20:00","110","9"
"GO401_123","01:23:00","01:23:00","109","10"
"GO401_123","01:25:00","01:25:00","108","11"
"GO401_123","01:28:00","01:28:00","107","12"
"GO401_123","01:31:00","01:31:00","106","13"
"GO401_123","01:34:00","01:34:00","100","14"
"GO401_123","01:47:00","01:49:00","15","15"
"GO401_123","01:58:00","01:58:00","9","16"
"GO401_123","02:09:00","02:09:00","8","17"
"GO401_124","00:39:00","00:39:00","8","1"
"GO401_124","00:51:00","00:51:00","9","2"
"GO401_124","00:56:00","00:56:00","10","3"
"GO401_124","00:58:00","00:58:00","11","4"
"GO401_124","01:02:00","01:04:00","15","5"
"GO401_124","01:17:00","01:17:00","100","6"
"GO401_124","01:20:00","01:20:00","106","7"
"GO401_124","01:23:00","01:23:00","107","8"
"GO401_124","01:26:00","01:26:00","108","9"
"GO401_124","01:29:00","01:29:00","109","10"
"GO401_124","01:32:00","01:32:00","110","11"
"GO401_124","01:35:00","01:35:00","111","12"
"GO401_124","01:38:00","01:38:00","112","13"
"GO401_124","01:40:00","01:40:00","113","14"
"GO401_124","01:42:00","01:42:00","114","15"
"GO401_124","01:45:00","01:45:00","115","16"
"GO401_124","01:48:00","01:48:00","116","17"
"GO401_124","01:51:00","01:51:00","117","18"
"GO401_124","01:56:00","01:56:00","118","19"
"GO401_125","01:36:00","01:36:00","118","1"
"GO401_125","01:41:00","01:41:00","117","2"
"GO401_125","01:44:00","01:44:00","116","3"
"GO401_125","01:46:00","01:46:00","115","4"
"GO401_125","01:49:00","01:49:00","114","5"
"GO401_125","01:51:00","01:51:00","113","6"
"GO401_125","01:54:00","01:54:00","112","7"
"GO401_125","01:56:00","01:56:00","111","8"
"GO401_125","01:59:00","01:59:00","110","9"
"GO401_125","02:02:00","02:02:00","109","10"
"GO401_125","02:05:00","02:05:00","108","11"
"GO401_125","02:08:00","02:08:00","107","12"
"GO401_125","02:11:00","02:11:00","106","13"
"GO401_125","02:15:00","02:15:00","100","14"
"GO401_125","02:30:00","02:32:00","15","15"
"GO401_125","02:41:00","02:41:00","9","16"
"GO401_125","02:51:00","02:51:00","8","17"
"GO401_126","01:37:00","01:37:00","8","1"
"GO401_126","01:49:00","01:49:00","9","2"
"GO401_126","01:58:00","02:00:00","15","3"
"GO401_126","02:11:00","02:11:00","87","4"
"GO401_126","02:13:00","02:13:00","100","5"
"GO401_126","02:16:00","02:16:00","106","6"
"GO401_126","02:19:00","02:19:00","107","7"
"GO401_126","02:22:00","02:22:00","108","8"
"GO401_126","02:25:00","02:25:00","109","9"
"GO401_126","02:28:00","02:28:00","110","10"
"GO401_126","02:31:00","02:31:00","111","11"
"GO401_126","02:34:00","02:34:00","112","12"
"GO401_126","02:36:00","02:36:00","113","13"
"GO401_126","02:38:00","02:38:00","114","14"
"GO401_126","02:41:00","02:41:00","115","15"
"GO401_126","02:44:00","02:44:00","116","16"
"GO401_126","02:47:00","02:47:00","117","17"
"GO401_126","02:52:00","02:52:00","118","18"
